P1 wins, P2 wins, Draws, TOTAL TIME P1, TOTAL TIME P2, TOTAL MOVES, TOTAL MOVES P1, TOTAL MOVES P2
0, 1, 0, 2.987646E8, 4.68149805E8, 30, 15, 15
0, 1, 0, 2.51959444E8, 4.54116978E8, 34, 17, 17
0, 1, 0, 2.55913351E8, 4.93181774E8, 36, 18, 18
0, 1, 0, 1.86290498E8, 2.89478263E8, 18, 9, 9
0, 1, 0, 2.63270136E8, 4.54505411E8, 34, 17, 17
0, 1, 0, 2.50075496E8, 4.29995791E8, 34, 17, 17
0, 1, 0, 3.05132002E8, 5.3156269E8, 38, 19, 19
0, 1, 0, 2.59482047E8, 4.30780426E8, 26, 13, 13
0, 1, 0, 2.26067084E8, 3.63930927E8, 22, 11, 11
0, 1, 0, 3.09641019E8, 5.56779591E8, 36, 18, 18
0, 1, 0, 2.74679078E8, 4.84707577E8, 28, 14, 14
0, 1, 0, 2.56885506E8, 4.49763672E8, 26, 13, 13
0, 1, 0, 2.8523916E8, 4.68932087E8, 34, 17, 17
1, 0, 0, 3.0695282E8, 5.37429763E8, 39, 20, 19
0, 1, 0, 2.12578288E8, 3.39443092E8, 22, 11, 11
0, 1, 0, 3.20496878E8, 5.88198296E8, 40, 20, 20
0, 1, 0, 2.84311903E8, 5.66790752E8, 36, 18, 18
0, 1, 0, 2.08583514E8, 3.14515119E8, 20, 10, 10
0, 1, 0, 2.50066681E8, 4.56307884E8, 34, 17, 17
0, 1, 0, 3.37450301E8, 5.48200622E8, 38, 19, 19
0, 1, 0, 2.9452965E8, 4.75770665E8, 38, 19, 19
0, 1, 0, 2.10480444E8, 3.30042249E8, 20, 10, 10
1, 0, 0, 2.53297731E8, 4.20239886E8, 31, 16, 15
0, 1, 0, 1.59576568E8, 2.40590993E8, 14, 7, 7
0, 1, 0, 2.95349232E8, 5.41532791E8, 42, 21, 21
0, 1, 0, 3.08252468E8, 5.57180204E8, 34, 17, 17
0, 1, 0, 2.83398244E8, 5.51344113E8, 40, 20, 20
1, 0, 0, 2.44991892E8, 3.95891583E8, 25, 13, 12
0, 1, 0, 2.83717179E8, 5.02058191E8, 36, 18, 18
0, 1, 0, 1.51545698E8, 2.37597782E8, 14, 7, 7
0, 1, 0, 1.49187273E8, 2.08273368E8, 14, 7, 7
0, 1, 0, 2.37757409E8, 4.17331322E8, 26, 13, 13
0, 1, 0, 3.04433226E8, 4.99737316E8, 38, 19, 19
0, 1, 0, 3.3545545E8, 5.98389866E8, 42, 21, 21
0, 1, 0, 2.36506149E8, 3.76324859E8, 22, 11, 11
0, 1, 0, 3.41364733E8, 5.51288038E8, 38, 19, 19
0, 1, 0, 2.04225104E8, 3.30570379E8, 22, 11, 11
0, 1, 0, 2.82248849E8, 5.05481952E8, 38, 19, 19
0, 1, 0, 2.16980108E8, 4.25722893E8, 24, 12, 12
1, 0, 0, 2.8674727E8, 4.61929118E8, 29, 15, 14
0, 1, 0, 1.52944906E8, 2.39900624E8, 14, 7, 7
0, 1, 0, 2.58435251E8, 4.35035069E8, 24, 12, 12
0, 0, 1, 3.29826143E8, 6.01006994E8, 42, 21, 21
0, 1, 0, 2.87325204E8, 5.36596626E8, 32, 16, 16
0, 1, 0, 2.01561541E8, 3.20258535E8, 22, 11, 11
0, 1, 0, 2.89869779E8, 4.86735677E8, 36, 18, 18
0, 1, 0, 2.54865313E8, 4.6093148E8, 26, 13, 13
0, 1, 0, 2.71946963E8, 4.84340809E8, 28, 14, 14
0, 1, 0, 1.98138707E8, 3.26061729E8, 18, 9, 9
0, 1, 0, 2.46645656E8, 4.25174763E8, 28, 14, 14
0, 1, 0, 3.55027637E8, 5.73094909E8, 40, 20, 20
0, 1, 0, 1.95067372E8, 3.10852521E8, 18, 9, 9
0, 1, 0, 2.47816189E8, 4.3028901E8, 26, 13, 13
0, 1, 0, 2.64477305E8, 4.44583532E8, 34, 17, 17
0, 1, 0, 1.97333985E8, 3.00962674E8, 18, 9, 9
0, 1, 0, 2.06777531E8, 3.3002935E8, 22, 11, 11
0, 1, 0, 2.15156296E8, 3.37772834E8, 20, 10, 10
0, 1, 0, 3.4285663E8, 6.12160152E8, 40, 20, 20
0, 1, 0, 2.99232534E8, 5.22556654E8, 36, 18, 18
0, 1, 0, 2.79426121E8, 4.96145939E8, 32, 16, 16
0, 1, 0, 3.17748142E8, 5.55729151E8, 38, 19, 19
0, 1, 0, 2.13357592E8, 3.38627449E8, 20, 10, 10
0, 1, 0, 3.0081934E8, 5.45222913E8, 34, 17, 17
0, 1, 0, 2.49021192E8, 4.02322535E8, 24, 12, 12
0, 1, 0, 2.94177443E8, 5.26625545E8, 40, 20, 20
0, 1, 0, 1.70616539E8, 2.63934419E8, 16, 8, 8
0, 1, 0, 2.65592774E8, 4.7546369E8, 34, 17, 17
0, 1, 0, 3.08302291E8, 5.50566947E8, 40, 20, 20
0, 1, 0, 1.87283131E8, 2.93010746E8, 18, 9, 9
1, 0, 0, 2.7788754E8, 4.91532038E8, 39, 20, 19
0, 1, 0, 1.95888101E8, 3.08544329E8, 20, 10, 10
0, 1, 0, 1.96737991E8, 3.32801574E8, 20, 10, 10
0, 1, 0, 2.22875271E8, 3.61915602E8, 22, 11, 11
0, 1, 0, 1.70704276E8, 2.7812494E8, 16, 8, 8
0, 1, 0, 3.05309149E8, 5.53231726E8, 34, 17, 17
0, 1, 0, 1.76188066E8, 2.63247343E8, 18, 9, 9
0, 1, 0, 2.28730726E8, 3.80692337E8, 22, 11, 11
0, 1, 0, 2.12615133E8, 3.3860301E8, 22, 11, 11
0, 1, 0, 2.63514721E8, 4.03203593E8, 30, 15, 15
0, 1, 0, 2.31579493E8, 3.83590413E8, 28, 14, 14
0, 1, 0, 3.1210049E8, 5.71749045E8, 36, 18, 18
0, 1, 0, 2.58471425E8, 4.39301936E8, 28, 14, 14
0, 1, 0, 2.91402012E8, 4.80733725E8, 36, 18, 18
0, 1, 0, 3.20998588E8, 5.69941526E8, 38, 19, 19
0, 0, 1, 3.480277E8, 6.20351476E8, 42, 21, 21
0, 1, 0, 3.36710077E8, 5.87722754E8, 42, 21, 21
0, 1, 0, 2.11685514E8, 3.38879801E8, 20, 10, 10
0, 1, 0, 1.98137464E8, 3.7142561E8, 22, 11, 11
1, 0, 0, 2.83971198E8, 4.46203712E8, 33, 17, 16
0, 1, 0, 3.02317386E8, 5.23368452E8, 36, 18, 18
0, 1, 0, 3.01512615E8, 5.27207012E8, 38, 19, 19
0, 1, 0, 2.12787221E8, 3.38148655E8, 20, 10, 10
0, 1, 0, 1.89545975E8, 2.94897367E8, 18, 9, 9
0, 1, 0, 3.11134341E8, 5.29126837E8, 36, 18, 18
0, 1, 0, 2.80167323E8, 4.67539979E8, 36, 18, 18
0, 1, 0, 2.66227062E8, 4.44053752E8, 26, 13, 13
0, 1, 0, 2.38011232E8, 4.34106355E8, 26, 13, 13
0, 1, 0, 1.58508126E8, 2.50204994E8, 16, 8, 8
0, 1, 0, 2.5539655E8, 4.77679714E8, 34, 17, 17
1, 0, 0, 2.66711078E8, 4.15856595E8, 29, 15, 14
0, 1, 0, 2.07298461E8, 3.15432601E8, 20, 10, 10
0, 1, 0, 3.1068909E8, 5.87298901E8, 36, 18, 18
0, 1, 0, 1.87772431E8, 2.79848212E8, 20, 10, 10
1, 0, 0, 2.54261377E8, 3.88251222E8, 31, 16, 15
0, 1, 0, 2.00266738E8, 3.36481715E8, 20, 10, 10
0, 1, 0, 1.8474306E8, 2.9300843E8, 18, 9, 9
1, 0, 0, 2.55439109E8, 4.31618817E8, 29, 15, 14
0, 1, 0, 1.85987375E8, 2.99333861E8, 18, 9, 9
0, 1, 0, 3.26354315E8, 5.93335804E8, 42, 21, 21
0, 1, 0, 3.23765629E8, 5.45203211E8, 38, 19, 19
1, 0, 0, 3.09808553E8, 5.29420538E8, 39, 20, 19
0, 1, 0, 2.13760971E8, 3.37528409E8, 20, 10, 10
0, 1, 0, 2.31880066E8, 3.93764434E8, 22, 11, 11
1, 0, 0, 2.91630632E8, 4.98040259E8, 35, 18, 17
